Bee Year Added, Bee Family,Bee Genus,Bee Species,Bee Code,Bee Native?,Plant Family,Plant Genus,Plant Species,Plant Common Name
2015,Andrenidae,Ancylandrena,atoposoma,ayatoposoma,Y,Fabaceae,Lotus,.,.
2015,Andrenidae,Ancylandrena,atoposoma,ayatoposoma,Y,Fabaceae,Lupinus,.,.
2015,Andrenidae,Ancylandrena,atoposoma,ayatoposoma,Y,Polygonaceae,Eriogonum,.,.
2015,Andrenidae,Ancylandrena,atoposoma,ayatoposoma,Y,Zygophyllaceae,Larrea,.,.
2015,Andrenidae,Ancylandrena,atoposoma,ayatoposoma,Y,Zygophyllaceae,Larrea,tridentata,creosote bush
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Brassicaceae,Stanleya,pinnata,desert princesplume
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Cactaceae,Echinocactus,.,.
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Fabaceae,Dalea,.,.
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Fabaceae,Psorothamnus,fremontii,Fremont's dalea
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Onagraceae,Eremothera,refracta,narrowleaf suncup
2015,Andrenidae,Ancylandrena,koebelei,aykoebelei,Y,Onagraceae,Oenothera,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Asteraceae,Verbesina,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Boraginaceae,Phacelia,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Fabaceae,.,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Fabaceae,Acmispon,haydonii,rock bird's-foot trefoil
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Fabaceae,Baileya,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Fabaceae,Coursetia,.,.
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Fabaceae,Prosopis,juliflora,mesquite
2015,Andrenidae,Ancylandrena,larreae,aylarreae,Y,Zygophyllaceae,Larrea,tridentata,creosote bush
2015,Andrenidae,Ancylandrena,rozeni,ayrozeni,Y,Boraginaceae,Phacelia,crenulata,cleftleaf wildheliotrope
2015,Andrenidae,Ancylandrena,rozeni,ayrozeni,Y,Fabaceae,Coursetia,.,.
2015,Andrenidae,Ancylandrena,rozeni,ayrozeni,Y,Fabaceae,Dalea,formosa,featherplume
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Asteraceae,Cirsium,.,.
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Asteraceae,Malacothrix,.,.
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Asteraceae,Verbesina,.,.
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Fabaceae,Acmispon,haydonii,rock bird's-foot trefoil
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Fabaceae,Psorothamnus,fremontii,Fremont's dalea
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Malvaceae,Sphaeralcea,ambigua,desert globemallow
2015,Andrenidae,Ancylandrena,timberlakei,aytimberlakei,Y,Zygophyllaceae,Larrea,tridentata,creosote bush
2015,Andrenidae,Andrena,aberrans,anaberrans,.,Fabaceae,.,.,.
2015,Andrenidae,Andrena,ablegata,anablegata,.,Apiaceae,Lomatium,.,.
2015,Andrenidae,Andrena,ablegata,anablegata,.,Apiaceae,Lomatium,dissectum,fernleaf biscuitroot
2015,Andrenidae,Andrena,ablegata,anablegata,.,Asteraceae,Agoseris,glauca,pale agoseris
2015,Andrenidae,Andrena,ablegata,anablegata,.,Asteraceae,Taraxacum,officinale,common dandelion
2015,Andrenidae,Andrena,ablegata,anablegata,.,Brassicaceae,Lepidium,draba,whitetop
2015,Andrenidae,Andrena,ablegata,anablegata,.,Ranunculaceae,Ranunculus,.,.
2015,Andrenidae,Andrena,ablegata,anablegata,.,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Aster,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Bidens,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Chrysothamnus,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Coreopsis,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Grindelia,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Grindelia,squarrosa,curlycup gumweed
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,angustifolius,swamp sunflower
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,annuus,common sunflower
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,hirsutus,hairy sunflower
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,pauciflorus,stiff sunflower
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Helianthus,petiolaris,prairie sunflower
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Machaeranthera,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Asteraceae,Silphium,.,.
2015,Andrenidae,Andrena,accepta,anaccepta,Y,Rosaceae,Rubus,.,.
2015,Andrenidae,Andrena,acrana,anacrana,.,.,.,.,.
2015,Andrenidae,Andrena,aculeata,anaculeata,Y,.,.,.,.
2015,Andrenidae,Andrena,afimbriata,anafimbriata,.,.,.,.,.
2015,Andrenidae,Andrena,agilissima,anagilissima,N,Brassicaceae,Sinapis,.,.
2015,Andrenidae,Andrena,agoseridis,anagoseridis,.,Asteraceae,Malacothrix,.,.
2015,Andrenidae,Andrena,agoseridis,anagoseridis,.,Euphorbiaceae,Chamaesyce,albomarginata,whitemargin sandmat
2015,Andrenidae,Andrena,alamonis,analamonis,.,Brassicaceae,Lesquerella,.,.
2015,Andrenidae,Andrena,albiculta,analbiculta,.,.,.,.,.
2017,Andrenidae,Andrena,albuginosa,analbuginosa,.,.,.,.,.
2015,Andrenidae,Andrena,algida,analgida,Y,Asteraceae,Tussilago,farfara,coltsfoot
2015,Andrenidae,Andrena,algida,analgida,Y,Brassicaceae,Barbarea,vulgaris,garden yellowrocket
2015,Andrenidae,Andrena,algida,analgida,Y,Caprifoliaceae,Valeriana,occidentalis,western valerian
2015,Andrenidae,Andrena,algida,analgida,Y,Cornaceae,Cornus,mas,Cornelian cherry
2015,Andrenidae,Andrena,algida,analgida,Y,Ranunculaceae,Anemone,patens,eastern pasqueflower
2015,Andrenidae,Andrena,algida,analgida,Y,Ranunculaceae,Ranunculus,.,.
2015,Andrenidae,Andrena,algida,analgida,Y,Rosaceae,Fragaria,.,.
2015,Andrenidae,Andrena,algida,analgida,Y,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,.,.,.
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Bidens,.,.
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Helianthus,.,.
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Helianthus,atrorubens,purpledisk sunflower
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Helianthus,divaricatus,woodland sunflower
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Helianthus,microcephalus,small woodland sunflower
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Helianthus,strumosus,paleleaf woodland sunflower
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Asteraceae,Rudbeckia,laciniata,cutleaf coneflower
2015,Andrenidae,Andrena,aliciae,analiciae,Y,Cucurbitaceae,.,.,.
2015,Andrenidae,Andrena,aliciarum,analiciarum,Y,Asteraceae,Pectis,.,.
2015,Andrenidae,Andrena,aliciarum,analiciarum,Y,Asteraceae,Pectis,papposa,manybristle chinchweed
2015,Andrenidae,Andrena,aliciarum,analiciarum,Y,Polygonaceae,Eriogonum,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Adoxaceae,Viburnum,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Apiaceae,Zizia,aurea,golden zizia
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Aquifoliaceae,Ilex,opaca,American holly
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Asteraceae,Leucanthemum,vulgare,oxeye daisy
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Asteraceae,Packera,aurea,golden ragwort
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Brassicaceae,Alliaria,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Brassicaceae,Brassica,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Cornaceae,Cornus,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Cucurbitaceae,.,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Ericaceae,Vaccinium,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Fabaceae,Melilotus,albus,white sweetclover
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Ranunculaceae,Ranunculus,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Rhamnaceae,Ceanothus,americanus,New Jersey tea
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Rosaceae,Rosa,multiflora,multiflora rose
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Rosaceae,Rubus,.,.
2015,Andrenidae,Andrena,alleghaniensis,analleghaniensis,Y,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Amaryllidaceae,Allium,geyeri,Geyer's onion
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Apiaceae,Erysimum,capitatum,sand dune wallflower
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Asteraceae,Erigeron,nematophyllus,needleleaf fleabane
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Asteraceae,Taraxacum,officinale,common dandelion
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Brassicaceae,Lesquerella,.,.
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Brassicaceae,Physaria,montana,mountain bladderpod
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Caryophyllaceae,Eremogone,hookeri,Hooker's sandwort
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Crassulaceae,Sedum,lanceolatum,spearleaf stonecrop
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Euphorbiaceae,Euphorbia,.,.
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Fabaceae,Cercidium,.,.
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Fabaceae,Medicago,sativa,alfalfa
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Fabaceae,Melilotus,albus,white sweetclover
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Melanthiaceae,Anticlea,vaginatus,sheathed deathcamas
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Melanthiaceae,Toxicoscordion,venenosum,meadow deathcamas
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Polygonaceae,Eriogonum,umbellatum,sulphur-flower buckwheat
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Cercocarpus,montanus,alderleaf mountain mahogany
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Dasiphora,fruticosa,shrubby cinquefoil
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Drymocallis,glandulosa,sticky cinquefoil
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Prunus,virginiana,chokecherry
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Purshia,tridentata,antelope bitterbrush
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Rosaceae,Rosa,woodsii,Wood's rose
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,amphibola,anamphibola,Y,Salicaceae,Salix,interior,sandbar willow
2015,Andrenidae,Andrena,anatolis,ananatolis,Y,Onagraceae,Camissonia,.,.
2015,Andrenidae,Andrena,anatolis,ananatolis,Y,Onagraceae,Camissoniopsis,bistorta,southern suncup
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Apiaceae,Erigenia,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Apiaceae,Heracleum,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Asteraceae,Antennaria,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Caryophyllaceae,Stellaria,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Lauraceae,Sassafras,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Rosaceae,Amelanchier,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Rosaceae,Crataegus,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Rosaceae,Fragaria,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Rosaceae,Prunus,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Rosaceae,Rubus,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,andrenoides,anandrenoides,Y,Violaceae,Viola,.,.
2015,Andrenidae,Andrena,angelesia,anangelesia,Y,Boraginaceae,Cryptantha,intermedia,Clearwater cryptantha
2015,Andrenidae,Andrena,angustella,anangustella,Y,Rosaceae,Rubus,.,.
2015,Andrenidae,Andrena,angusticrus,anangusticrus,.,.,.,.,.
2015,Andrenidae,Andrena,angustifovea,anangustifovea,.,.,.,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,.,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Daucus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Daucus,carota,Queen Anne's lace
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Foeniculum,vulgare,sweet fennel
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Heracleum,sphondylium,common cowparsnip
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Lomatium,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Lomatium,bicolor,Wasatch desertparsley
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Lomatium,dissectum,fernleaf biscuitroot
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Lomatium,grayi,Gray's biscuitroot
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Lomatium,triternatum,nineleaf biscuitroot
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Apiaceae,Scandix,pecten-veneris,shepherdsneedle
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Asteraceae,Achillea,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Asteraceae,Baeria,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Asteraceae,Layia,platyglossa,coastal tidytips
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Asteraceae,Taraxacum,officinale,common dandelion
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Boraginaceae,Cryptantha,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Boraginaceae,Hackelia,patens,spotted stickseed
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Boraginaceae,Phacelia,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Brassicaceae,Lepidium,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Brassicaceae,Lepidium,draba,whitetop
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Grossulariaceae,Ribes,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Grossulariaceae,Ribes,aureum,golden currant
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Montiaceae,Claytonia,lanceolata,lanceleaf springbeauty
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Papaveraceae,Eschscholzia,californica,California poppy
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Polemoniaceae,Gilia,capitata,bluehead gilia
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Ranunculaceae,Ranunculus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Ranunculaceae,Ranunculus,testiculatus,bur buttercup
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rhamnaceae,Ceanothus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rhamnaceae,Ceanothus,cuneatus,sedgeleaf buckbrush
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rhamnaceae,Ceanothus,velutinus,snowbrush ceanothus
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rhamnaceae,Rhamnus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rhamnaceae,Rhamnus,californica,California buckthorn
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Amelanchier,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Drymocallis,glandulosa,sticky cinquefoil
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Fragaria,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Malus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Prunus,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Prunus,avium,sweet cherry
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Prunus,subcordata,Klamath plum
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Prunus,virginiana,chokecherry
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Prunus,virginiana,chokecherry
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Rosaceae,Pyrus,communis,common pear
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Salicaceae,Salix,exigua,narrowleaf willow
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Sapindaceae,Acer,.,.
2015,Andrenidae,Andrena,angustitarsata,anangustitarsata,.,Sapindaceae,Acer,glabrum,Rocky Mountain maple
2015,Andrenidae,Andrena,anisochlora,ananisochlora,Y,.,.,.,.
2015,Andrenidae,Andrena,annectens,anannectens,.,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Asteraceae,Senecio,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Boraginaceae,Cryptantha,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Brassicaceae,Stanleya,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Brassicaceae,Stanleya,pinnata,desert princesplume
2015,Andrenidae,Andrena,anograe,ananograe,.,Fabaceae,Oxytropis,deflexa,nodding locoweed
2015,Andrenidae,Andrena,anograe,ananograe,.,Geraniaceae,Geranium,caespitosum,pineywoods geranium
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,.,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Anogra,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Gaura,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,.,.
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,albicaulis,whitest evening primrose
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,caespitosa,tufted evening primrose
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,coronopifolia,crownleaf evening primrose
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,pallida,pale evening primrose
2015,Andrenidae,Andrena,anograe,ananograe,.,Onagraceae,Oenothera,suffrutescens,scarlet beeblossom
2015,Andrenidae,Andrena,anograe,ananograe,.,Plantaginaceae,Penstemon,.,.
2015,Andrenidae,Andrena,antonitonis,anantonitonis,.,.,.,.,.
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Asteraceae,.,.,.
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Asteraceae,Cirsium,.,.
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Asteraceae,Ericameria,nauseosa,rubber rabbitbrush
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Asteraceae,Erigeron,.,.
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Asteraceae,Erigeron,speciosus,aspen fleabane
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Lamiaceae,Agastache,.,.
2015,Andrenidae,Andrena,apacheorum,anapacheorum,.,Phrymaceae,Mimulus,guttatus,seep monkeyflower
2015,Andrenidae,Andrena,apasta,anapasta,Y,Onagraceae,Camissonia,.,.
2015,Andrenidae,Andrena,apiformis,anapiformis,.,.,.,.,.
2015,Andrenidae,Andrena,aquila,anaquila,.,.,.,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Apiaceae,Zizia,aurea,golden zizia
2015,Andrenidae,Andrena,arabis,anarabis,Y,Asteraceae,Solidago,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Asteraceae,Taraxacum,officinale,common dandelion
2015,Andrenidae,Andrena,arabis,anarabis,Y,Asteraceae,Tussilago,farfara,coltsfoot
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Arabis,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Barbarea,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Barbarea,vulgaris,garden yellowrocket
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Brassica,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Capsella,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Cardamine,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Cardamine,bulbosa,bulbous bittercress
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Cardamine,concatenata,cutleaf toothwort
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Cardamine,diphylla,crinkleroot
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Cardamine,hirsuta,hairy bittercress
2015,Andrenidae,Andrena,arabis,anarabis,Y,Brassicaceae,Dentaria,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Buxaceae,Buxus,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Fabaceae,Sorbaria,sorbifolia,false spiraea
2015,Andrenidae,Andrena,arabis,anarabis,Y,Liliaceae,Erythronium,americanum,dogtooth violet
2015,Andrenidae,Andrena,arabis,anarabis,Y,Melanthiaceae,Trillium,grandiflorum,white trillium
2015,Andrenidae,Andrena,arabis,anarabis,Y,Montiaceae,Claytonia,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Montiaceae,Claytonia,caroliniana,Carolina springbeauty
2015,Andrenidae,Andrena,arabis,anarabis,Y,Ranunculaceae,Hepatica,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Rosaceae,Prunus,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Rosaceae,Rosa,carolina,Carolina rose
2015,Andrenidae,Andrena,arabis,anarabis,Y,Rosaceae,Rubus,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Rosaceae,Spiraea,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,arabis,anarabis,Y,Salicaceae,Salix,humilis,prairie willow
2015,Andrenidae,Andrena,arabis,anarabis,Y,Sapindaceae,Acer,rubrum,red maple
2015,Andrenidae,Andrena,arctostaphylae,anarctostaphylae,.,Ericaceae,Arctostaphylos,.,.
2015,Andrenidae,Andrena,ardis,anardis,.,Asteraceae,Gutierrezia,.,.
2015,Andrenidae,Andrena,arenata,anarenata,.,.,.,.,.
2015,Andrenidae,Andrena,arenicola,anarenicola,.,Salicaceae,Salix,.,.
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Brassicaceae,Lepidium,.,.
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Fabaceae,Dalea,.,.
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Fabaceae,Melilotus,albus,white sweetclover
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Papaveraceae,Argemone,.,.
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Papaveraceae,Argemone,polyanthemos,crested pricklypoppy
2015,Andrenidae,Andrena,argemonis,anargemonis,Y,Polygonaceae,Eriogonum,deflexum,flatcrown buckwheat
2015,Andrenidae,Andrena,argentiscopa,anargentiscopa,Y,.,.,.,.
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Aster,.,.
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Euthamia,graminifolia,slender goldentop
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Pluchea,odorata,sweetscent
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Solidago,.,.
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Solidago,nemoralis,gray goldenrod
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Solidago,rigida,rigid goldenrod
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Solidago,rugosa,wrinkleleaf goldenrod
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Solidago,sempervirens,seaside goldenrod
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Symphyotrichum,ericoides,white heath aster
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Symphyotrichum,lanceolatum,white panicle aster
2015,Andrenidae,Andrena,asteris,anasteris,Y,Asteraceae,Symphyotrichum,pilosum,hairy white oldfield aster
2015,Andrenidae,Andrena,asteris,anasteris,Y,Lamiaceae,Nepeta,cataria,catnip
2015,Andrenidae,Andrena,asteris,anasteris,Y,Polygonaceae,Polygonum,.,.
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,.,.,.
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,Aster,.,.
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,Haplopappus,.,.
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,Symphyotrichum,dumosum,rice button aster
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,Symphyotrichum,ericoides,white heath aster
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Asteraceae,Symphyotrichum,lanceolatum,white panicle aster
2015,Andrenidae,Andrena,asteroides,anasteroides,Y,Fagaceae,Chrysopsis,.,.
